Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Comment[Animal Source]	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[Diet]	Term Source REF	Term Accession Number	Comment[Feeding Schedule]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Enrichment material]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Duration]	Unit	Term Source REF	Term Accession Number	Factor Value[Euthanasia Location]	Term Source REF	Term Accession Number	Factor Value[Dissection Condition]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Carcass Preservation Method]	Unit	Term Source REF	Term Accession Number	Parameter Value[Carcass Weight]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[ALSDA Sample Name]	Comment[Launch Date]	Comment[Euthanasia Date]	Comment[Dissection Date]	Comment[ALSDA Source Name]	Comment[ALSDA Biospecimen Subject ID]	Comment[ALSDA Biospecimen ID]
LAR Flight 6	Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	~30	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				29.2	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-LAR 6	15-Dec-17	17-Jan-18	17-Jan-18	1450	596	6058
LAR Flight 7	Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	~30	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				32.2	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-LAR 7	15-Dec-17	17-Jan-18	17-Jan-18	496A	596	6058
LAR Flight 10	Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	~30	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				27	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-LAR 10	15-Dec-17	17-Jan-18	17-Jan-18	6107	596	6058
LAR Flight 8	Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	~30	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				29.4	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-LAR 8	15-Dec-17	17-Jan-18	17-Jan-18	5D2B	596	6058
LAR Flight 9	Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	~30	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				30.6	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-LAR 9	15-Dec-17	17-Jan-18	17-Jan-18	7F63	596	6058
LAR Flight 4	Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	~30	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				25	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-LAR 4	15-Dec-17	17-Jan-18	17-Jan-18	2762	596	6058
LAR Flight 5	Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	~30	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				25.1	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-LAR 5	15-Dec-17	17-Jan-18	17-Jan-18	7414	596	6058
ISS-T Baseline 1	Mmus_C57-6T_LVR_BSL_ISS-T_Rep1_B1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Carcass			sample collection	"Ketamine/Xylazine/Acepromazine, Thoracotomy, Cardiac Puncture"			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	20.8	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-Base 1	9-Dec-17	9-Dec-17	21-May-18	451B	619	6027
ISS-T Baseline 3	Mmus_C57-6T_LVR_BSL_ISS-T_Rep2_B3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Carcass			sample collection	"Ketamine/Xylazine/Acepromazine, Thoracotomy, Cardiac Puncture"			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	21.3	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-Base 3	9-Dec-17	9-Dec-17	22-May-18	4240	619	6027
ISS-T Baseline 4	Mmus_C57-6T_LVR_BSL_ISS-T_Rep3_B4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Carcass			sample collection	"Ketamine/Xylazine/Acepromazine, Thoracotomy, Cardiac Puncture"			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	22.3	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-Base 4	9-Dec-17	9-Dec-17	22-May-18	4B59	619	6027
ISS-T Baseline 6	Mmus_C57-6T_LVR_BSL_ISS-T_Rep4_B6	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Carcass			sample collection	"Ketamine/Xylazine/Acepromazine, Thoracotomy, Cardiac Puncture"			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	26.1	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-Base 6	9-Dec-17	9-Dec-17	23-May-18	2113	619	6027
ISS-T Baseline 9	Mmus_C57-6T_LVR_BSL_ISS-T_Rep5_B9	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Carcass			sample collection	"Ketamine/Xylazine/Acepromazine, Thoracotomy, Cardiac Puncture"			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	17.8	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-Base 9	9-Dec-17	9-Dec-17	24-May-18	2476	619	6027
ISS-T Baseline 10	Mmus_C57-6T_LVR_BSL_ISS-T_Rep6_B10	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Carcass			sample collection	"Ketamine/Xylazine/Acepromazine, Thoracotomy, Cardiac Puncture"			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	22	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-Base 10	9-Dec-17	9-Dec-17	24-May-18	4166	619	6027
ISS-T Baseline 5	Mmus_C57-6T_LVR_BSL_ISS-T_Rep7_B5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Carcass			sample collection	"Ketamine/Xylazine/Acepromazine, Thoracotomy, Cardiac Puncture"			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	18.8	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-Base 5	9-Dec-17	9-Dec-17	23-May-18	5D16	619	6027
ISS-T Baseline 7	Mmus_C57-6T_LVR_BSL_ISS-T_Rep8_B7	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Carcass			sample collection	"Ketamine/Xylazine/Acepromazine, Thoracotomy, Cardiac Puncture"			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	23.6	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-Base 7	9-Dec-17	9-Dec-17	23-May-18	1F4D	619	6027
ISS-T Baseline 8	Mmus_C57-6T_LVR_BSL_ISS-T_Rep9_B8	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Carcass			sample collection	"Ketamine/Xylazine/Acepromazine, Thoracotomy, Cardiac Puncture"			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	19.9	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-Base 8	9-Dec-17	9-Dec-17	24-May-18	670D	619	6027
ISS-T Baseline 2	Mmus_C57-6T_LVR_BSL_ISS-T_Rep10_B2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Carcass			sample collection	"Ketamine/Xylazine/Acepromazine, Thoracotomy, Cardiac Puncture"			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	21.2	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-Base 2	9-Dec-17	9-Dec-17	22-May-18	7444	619	6027
ISS-T GC 4	Mmus_C57-6T_LVR_GC_ISS-T_Rep1_G4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Ground Control			~60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Carcass			sample collection	"Ketamine/Xylazine/Acepromazine, Thoracotomy, Cardiac Puncture"			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	30.5	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-GC 4	12-Dec-17	03-Feb-2018 to 06-Feb-2018	23-May-18	217F	621	5996
ISS-T GC 9	Mmus_C57-6T_LVR_GC_ISS-T_Rep2_G9	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Ground Control			~60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Carcass			sample collection	"Ketamine/Xylazine/Acepromazine, Thoracotomy, Cardiac Puncture"			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	21.3	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-GC 9	12-Dec-17	03-Feb-2018 to 06-Feb-2018	24-May-18	2574	621	5996
ISS-T GC 10	Mmus_C57-6T_LVR_GC_ISS-T_Rep3_G10	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Ground Control			~60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Carcass			sample collection	"Ketamine/Xylazine/Acepromazine, Thoracotomy, Cardiac Puncture"			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	22.2	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-GC 10	12-Dec-17	03-Feb-2018 to 06-Feb-2018	24-May-18	3C63	621	5996
ISS-T GC 7	Mmus_C57-6T_LVR_GC_ISS-T_Rep4_G7	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Ground Control			~60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Carcass			sample collection	"Ketamine/Xylazine/Acepromazine, Thoracotomy, Cardiac Puncture"			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	22.3	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-GC 7	12-Dec-17	03-Feb-2018 to 06-Feb-2018	23-May-18	2A77	621	5996
ISS-T GC 8	Mmus_C57-6T_LVR_GC_ISS-T_Rep5_G8	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Ground Control			~60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Carcass			sample collection	"Ketamine/Xylazine/Acepromazine, Thoracotomy, Cardiac Puncture"			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	29.2	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-GC 8	12-Dec-17	03-Feb-2018 to 06-Feb-2018	24-May-18	673F	621	5996
